#
#   VizieR Astronomical Server vizier.u-strasbg.fr 	2012-05-21T08:21:19 [V1.88 (30-Jan-2012)]
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#INFO	votable-version=1.88 (30-Jan-2012)	
#INFO	-ref=VIZ4fb9f6df6278	
#INFO	-out.max=9999	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=9999
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:II/144&cat:II/145&cat:V/53A&tab:{V/53A/catalog}&cat:VII/103&cat:J/A+A/341/553&cat:J/A+A/442/381&cat:J/A+A/451/835&cat:J/A+A/466/917&cat:J/A+A/486/505&cat:J/A+AS/93/373&cat:J/A+AS/102/89&cat:J/A+AS/104/9&cat:J/A+AS/106/257&cat:J/AJ/75/167&cat:J/AJ/126/1996&cat:J/ApJ/469/629&cat:J/ApJS/199/23&key:source=brightest+star&HTTPPRM:&-ref=VIZ4fb9f6df6278&-out.max=9999&-out.form=ascii table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=dec&-out.src=V/53A/catalog&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HR&-out=n_HR&-out=Flamsteed&-out=Const&-out=RA2000&-out=DE2000&-out=ELON&-out=ELAT&-out=Dist&-out=Vmag&-out=SpType&-out=nComp&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out.src=V/53A/catalog
#-source=V/53A/catalog
#-order=I
#-out=HR
#-out=n_HR
#-out=Flamsteed
#-out=Const
#-out=RA2000
#-out=DE2000
#-out=ELON
#-out=ELAT
#-out=Dist
#-out=Vmag
#-out=SpType
#-out=nComp
#

#RESOURCE=yCat_5053
#Name: V/53A
#Title: Catalogue of the Brightest Stars (Ochsenbein+ 1988)
#Coosys	B2000:	eq_FK4 B2000
#Coosys	J2000:	eq_FK5 J2000
#Table	V_53A_catalog:
#Name: V/53A/catalog
#Title: The Catalogue
#Column	_RAJ2000	(F8.4)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F8.4)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	HR	(I4)	[1/9110]+ "Bright Star" catalog <V/50>	[ucd=ID_MAIN]
#Column	n_HR	(A1)	indicates that name(s) exist for this star in the file "\begin{tex}\vFile{V/53A/./names.dat}{names.dat}\end{tex}" {\em(indique l'existence de nom(s) usuels)}	[ucd=DATA_LINK]
#Column	Flamsteed	(I3)	? Flamsteed number	[ucd=ID_ALTERNATIVE]
#Column	Const	(A3)	\W{const}{/vizier/VizieR/constellations.htx}{Constellation Name} (3 characters)	[ucd=ID_CONSTEL]
#Column	RA2000	(A10)	Right Ascension 2000 (hours)	[ucd=POS_EQ_RA_MAIN]
#Column	DE2000	(A9)	Declination 2000 (degrees)	[ucd=POS_EQ_DEC_MAIN]
#Column	ELON	(F6.2)	Ecliptic longitude, J2000	[ucd=POS_EC_LON]
#Column	ELAT	(F6.2)	Ecliptic latitude, J2000	[ucd=POS_EC_LAT]
#Column	Dist	(I5)	Distance of star in light-years (5)	[ucd=PHYS_DISTANCE_TRUE]
#Column	Vmag	(F5.2)	[-1.46/5.03] Visual magnitude (magnitude visuelle)	[ucd=PHOT_JHN_V]
#Column	SpType	(a19)	MK Spectral Type	[ucd=SPECT_TYPE_MK]
#Column	nComp	(I2)	[1/13]? Number of visual components (nombre de composantes visuelles)	[ucd=NUMBER]
_RAJ2000;_DEJ2000;HR;n_HR;Flamsteed;Const;RA2000;DE2000;ELON;ELAT;Dist;Vmag;SpType;nComp
044.6903;+39.6627; 879; ; 22;Per;02 58 45.6;+39 39 46; 53.90; 21.73;  326; 4.70;A2Vn               ;
044.7653;+35.1830; 882; ; 24;Per;02 59 03.6;+35 10 59; 52.54; 17.44;  362; 4.94;K2III              ;
044.8028;+21.3403; 887; ; 48;Ari;02 59 12.6;+21 20 25; 48.50;  4.17;  296; 4.63;A2Vs               ; 3
044.8028;+21.3403; 888; ; 48;Ari;02 59 12.6;+21 20 25; 48.50;  4.17;  296; 4.64;A2Vs               ; 3
044.9286; +8.9075; 896; ; 91;Cet;02 59 42.8;+08 54 27; 45.09; -7.79;  465; 4.70;B6III              ;
044.5653;-40.3047; 897;*;   ;Eri;02 58 15.6;-40 18 17; 23.27;-53.74;  163; 3.42;A4III              ; 2
044.5678;-40.3044; 898; ;   ;Eri;02 58 16.2;-40 18 16; 23.27;-53.74;  163; 4.42;A1V                ; 2
044.6994;-64.0710; 909; ;   ;Hor;02 58 47.8;-64 04 16;346.34;-71.35;  326; 4.99;A3-5IIIm:          ;
045.5699; +4.0897; 911;*; 92;Cet;03 02 16.7;+04 05 23; 44.32;-12.59;  232; 2.53;M1.5IIIa           ;
046.1990;+53.5063; 915; ; 23;Per;03 04 47.7;+53 30 23; 60.02; 34.53;  271; 2.93;G8III+A2V          ; 3
046.3852;+56.7058; 918; ;   ;   ;03 05 32.4;+56 42 21; 61.49; 37.50;  217; 4.76;G9.5III            ;
045.5982;-23.6244; 919; ; 11;Eri;03 02 23.5;-23 37 28; 34.53;-38.91;   88; 4.09;A4IV               ;
046.2940;+38.8402; 921; ; 25;Per;03 05 10.5;+38 50 25; 54.91; 20.57;  326; 3.39;M4II               ;
047.9847;+74.3935; 932; ;   ;   ;03 11 56.3;+74 23 37; 72.37; 53.53;  163; 4.88;A2Vnn              ;
047.0423;+40.9558; 936;*; 26;Per;03 08 10.1;+40 57 21; 56.17; 22.43;   93; 2.12;B8V                ; 6
047.2669;+49.6133; 937; ;   ;Per;03 09 04.0;+49 36 48; 59.27; 30.63;   34; 4.05;G0V                ; 2
047.3740;+44.8575; 941; ; 27;Per;03 09 29.7;+44 51 27; 57.69; 26.08;  112; 3.81;K0III              ; 2
047.8223;+39.6116; 947; ; 28;Per;03 11 17.3;+39 36 42; 56.36; 20.97;  326; 4.64;K1III              ; 2
047.9073;+19.7266; 951; ; 57;Ari;03 11 37.7;+19 43 36; 50.85;  1.82;  171; 4.37;K2IIIv             ;
048.0178;-28.9872; 963; ;   ;For;03 12 04.2;-28 59 14; 34.61;-44.69;   46; 3.85;F8V                ; 2
048.7253;+21.0444; 972; ; 58;Ari;03 14 54.0;+21 02 40; 51.94;  2.89;  362; 4.89;A1V                ;
048.9582; -8.8197; 984; ; 13;Eri;03 15 49.9;-08 49 11; 43.83;-25.92;  120; 4.80;A5m                ;
049.9973;+65.6524; 985; ;   ;   ;03 19 59.3;+65 39 09; 67.88; 45.26;  616; 4.85;B2.5Ven            ; 2
049.6823;+34.2225; 991; ;   ;   ;03 18 43.7;+34 13 21; 56.30; 15.38;  577; 4.82;K2IIICN2Ba0.3      ;
049.5923;-22.5114; 994; ; 15;Eri;03 18 22.1;-22 30 41; 39.47;-39.13;  271; 4.88;G6III              ; 2
049.8403; +3.3703; 996; ; 96;Cet;03 19 21.6;+03 22 13; 48.33;-14.45;   29; 4.84;G5Vv               ; 3
050.0848;+29.0486; 999; ;   ;   ;03 20 20.3;+29 02 55; 55.24; 10.30;  254; 4.47;K2II-III           ;
050.3607;+43.3297;1002; ; 32;Per;03 21 26.5;+43 19 47; 59.47; 24.00;  155; 4.95;A3V                ;
049.8790;-21.7577;1003; ; 16;Eri;03 19 30.9;-21 45 28; 40.11;-38.51;  271; 3.70;M3.5IIIaCa-1       ; 6
049.9819;-43.0697;1008; ;   ;   ;03 19 55.6;-43 04 11; 27.22;-58.11;   19; 4.27;G8III              ;
051.0806;+49.8613;1017;*; 33;Per;03 24 19.3;+49 51 41; 62.08; 30.13;  529; 1.79;F5Ib               ; 2
051.2032; +9.0289;1030; ;  1;Tau;03 24 48.7;+09 01 44; 51.16; -9.33;  217; 3.60;G6IIIFe-1          ;
052.0127;+49.0627;1034; ;   ;   ;03 28 03.0;+49 03 46; 62.49; 29.19;  442; 4.98;B5V                ;
052.2673;+59.9402;1035; ;   ;   ;03 29 04.1;+59 56 25; 66.58; 39.53; 3228; 4.22;B9Ia               ; 2
051.7923; +9.7328;1038; ;  2;Tau;03 27 10.1;+09 43 58; 51.91; -8.80;  232; 3.75;B9Vn               ;
052.4785;+58.8788;1040; ;   ;   ;03 29 54.8;+58 52 44; 66.29; 38.49; 3228; 4.54;A0Iae              ;
052.3419;+49.5088;1044; ; 34;Per;03 29 22.0;+49 30 32; 62.87; 29.56;  436; 4.67;B3V                ; 2
052.6436;+47.9952;1052; ; 35;Per;03 30 34.4;+47 59 43; 62.61; 28.05;  362; 4.38;K3III              ;
052.7182;+12.9367;1066; ;  5;Tau;03 30 52.3;+12 56 12; 53.59; -5.92;  362; 4.10;K0II-IIIFe-0.5     ; 2
052.6544; -5.0753;1070; ; 17;Eri;03 30 37.0;-05 04 31; 48.85;-23.34;  407; 4.73;B9Vs               ;
052.3444;-62.9377;1083; ;   ;Ret;03 29 22.6;-62 56 16;355.11;-73.80;   70; 4.72;F5IV-V             ; 2
053.2328; -9.4583;1084; ; 18;Eri;03 32 55.8;-09 27 30; 48.17;-27.72;   10; 3.73;K2V                ; 2
054.1223;+48.1927;1087; ; 37;Per;03 36 29.3;+48 11 34; 63.75; 27.97;  300; 4.23;B5Ve               ;
053.4469;-21.6330;1088; ; 19;Eri;03 33 47.2;-21 37 59; 44.20;-39.44;  296; 4.28;B8V+B8V            ;
054.2182; +0.4017;1101; ; 10;Tau;03 36 52.3;+00 24 06; 51.95;-18.44;   45; 4.28;F9V                ; 2
054.2736;-40.2747;1106; ;   ;   ;03 37 05.6;-40 16 29; 34.93;-57.09;  232; 4.58;K1III              ;
055.7311;+47.7875;1122; ; 39;Per;03 42 55.4;+47 47 15; 64.80; 27.30;  543; 3.01;B5III              ; 2
055.5940;+33.9650;1123; ; 40;Per;03 42 22.5;+33 57 54; 61.13; 13.91; 1211; 4.97;B0.5V              ; 2
056.5098;+63.3449;1129; ;   ;   ;03 46 02.3;+63 20 42; 70.49; 42.16;  162; 4.79;G0III+A3V          ; 2
056.0798;+32.2883;1131; ; 38;Per;03 44 19.1;+32 17 18; 61.14; 12.18;  779; 3.83;B1III              ; 2
055.5623;-31.9383;1134; ;   ;For;03 42 14.9;-31 56 18; 41.97;-49.80;  564; 5.00;B5IV               ;
056.2986;+42.5786;1135; ; 41;Per;03 45 11.6;+42 34 43; 63.82; 22.15;  510; 3.80;F5II               ; 2
055.8119; -9.7633;1136; ; 23;Eri;03 43 14.8;-09 45 48; 50.86;-28.68;   29; 3.54;K0+IV              ;
056.2190;+24.1133;1142;*; 17;Tau;03 44 52.5;+24 06 48; 59.41;  4.19;  407; 3.70;B6IIIe             ; 2
055.7086;-37.3136;1143; ;   ;   ;03 42 50.0;-37 18 49; 38.91;-54.84;  181; 4.59;K2.5III            ; 2
056.3019;+24.4672;1145;*; 19;Tau;03 45 12.4;+24 28 02; 59.56;  4.52;  407; 4.30;B6IV               ; 3
057.5897;+71.3324;1148; ;   ;Cam;03 50 21.5;+71 19 57; 74.65; 49.62;  362; 4.66;A2IVn              ; 3
056.4565;+24.3678;1149;*; 20;Tau;03 45 49.5;+24 22 04; 59.68;  4.39;  362; 3.87;B8III              ; 2
057.3802;+65.5261;1155; ;   ;   ;03 49 31.2;+65 31 34; 71.87; 44.13;  243; 4.48;M2IIab             ;
056.5815;+23.9483;1156;*; 23;Tau;03 46 19.5;+23 56 54; 59.70;  3.96;  362; 4.18;B6IVe              ;
056.5353;-12.1016;1162; ; 26;Eri;03 46 08.4;-12 06 06; 50.96;-31.12;  543; 4.42;M2III              ;
056.8711;+24.1050;1165;*; 25;Tau;03 47 29.0;+24 06 18; 59.99;  4.05;  407; 2.87;B7IIIe             ; 5
056.7119;-23.2497;1173; ; 27;Eri;03 46 50.8;-23 14 59; 47.36;-41.89;   59; 4.23;F3III              ;
056.0502;-64.8072;1175; ;   ;Ret;03 44 12.0;-64 48 26;351.39;-76.09;  101; 3.85;K1-2III            ; 2
057.2907;+24.0533;1178;*; 27;Tau;03 49 09.7;+24 03 12; 60.36;  3.92;  407; 3.62;B8III              ; 3
057.1494;-37.6205;1190; ;   ;   ;03 48 35.8;-37 37 14; 40.56;-55.56;  163; 4.86;B9V                ; 2
057.3636;-36.2002;1195; ;   ;   ;03 49 27.2;-36 12 01; 41.76;-54.31;  217; 4.17;G9II-III           ;
058.5332;+31.8836;1203; ; 44;Per;03 54 07.9;+31 53 01; 63.12; 11.33;  932; 2.85;B1Ib               ; 5
059.2843;+61.1088;1205; ;   ;   ;03 57 08.2;+61 06 32; 71.31; 39.65;  332; 5.00;K3I-II             ; 2
056.8105;-74.2391;1208; ;   ;Hyi;03 47 14.5;-74 14 21;310.47;-76.76;  217; 3.24;M2III              ;
058.5728; -2.9547;1212; ; 32;Eri;03 54 17.4;-02 57 17; 55.63;-22.72;  362; 4.79;G8III              ; 3
058.4277;-24.6125;1213; ; 33;Eri;03 53 42.6;-24 36 45; 48.87;-43.65;  407; 4.65;B6V                ;
059.4636;+40.0102;1220; ; 45;Per;03 57 51.2;+40 00 37; 65.68; 19.11;  543; 2.89;B0.5V+A2V          ; 3
059.7411;+35.7911;1228; ; 46;Per;03 58 57.8;+35 47 28; 64.97; 14.94; 2624; 4.04;O7e                ;
059.5073;-13.5086;1231;*; 34;Eri;03 58 01.7;-13 30 31; 53.87;-33.20;  232; 2.94;M0.5IIICa-ICr-I    ; 2
060.1703;+12.4903;1239; ; 35;Tau;04 00 40.8;+12 29 25; 60.63; -7.96;  407; 3.41;B3V+A4IV           ;
059.9811;-24.0164;1240; ; 36;Eri;03 59 55.4;-24 00 59; 50.97;-43.47;  362; 4.66;B6V+B9.5V          ;
059.6864;-61.4002;1247; ;   ;Ret;03 58 44.7;-61 24 01;  7.06;-75.91;  543; 4.56;M2IIIab            ;
060.7890; +5.9894;1251; ; 38;Tau;04 03 09.3;+05 59 22; 59.92;-14.45;  130; 3.91;A1V                ;
061.1740;+22.0819;1256; ; 37;Tau;04 04 41.7;+22 04 55; 63.46;  1.26;  181; 4.37;K0III              ; 2
061.6460;+50.3513;1261; ; 47;Per;04 06 35.0;+50 21 05; 69.75; 28.89;  362; 4.29;A0IVn              ;
060.2243;-62.1594;1264; ;   ;Ret;04 00 53.8;-62 09 34;  4.97;-76.54;  543; 4.51;M4III              ;
060.3260;-61.0788;1266; ;   ;Ret;04 01 18.2;-61 04 44;  8.86;-75.98;  362; 4.97;K4III              ;
062.1652;+47.7125;1273; ; 48;Per;04 08 39.6;+47 42 45; 69.50; 26.24;  299; 4.03;B3Ve               ;
062.9665; -6.8378;1298; ; 38;Eri;04 11 51.9;-06 50 16; 59.43;-27.45;  130; 4.05;F2II-III           ;
062.7106;-41.9936;1302; ;   ;Hor;04 10 50.5;-41 59 37; 44.92;-61.23;  181; 4.93;A9V                ;
063.7244;+48.4094;1303; ; 51;Per;04 14 53.8;+48 24 34; 70.79; 26.71; 1833; 4.16;G0Ib               ; 5
063.7223;+40.4839;1306; ; 52;Per;04 14 53.3;+40 29 02; 69.15; 18.93; 2361; 4.71;G5Ib+A2V           ;
063.4848; +9.2636;1311; ; 47;Tau;04 13 56.3;+09 15 49; 63.25;-11.75;  407; 4.84;G5III              ; 3
063.5986;-10.2564;1318; ; 39;Eri;04 14 23.6;-10 15 23; 59.33;-30.93;  217; 4.86;K3III              ; 3
063.8836; +8.8922;1320; ; 49;Tau;04 15 32.0;+08 53 32; 63.58;-12.18;  465; 4.28;B3IV               ;
064.5610;+50.2955;1324; ;   ;   ;04 18 14.6;+50 17 44; 71.81; 28.45;  326; 4.61;A2V                ;
063.8182; -7.6528;1325; ; 40;Eri;04 15 16.3;-07 39 10; 60.18;-28.42;   16; 4.43;K1V                ; 5
063.5006;-42.2944;1326; ;   ;Hor;04 14 00.1;-42 17 40; 45.82;-61.73;  120; 3.86;K1III              ;
064.3152;+20.5786;1329; ; 50;Tau;04 17 15.6;+20 34 43; 66.06; -0.75;   95; 4.95;A3m                ; 2
063.6064;-62.4738;1336; ;   ;Ret;04 14 25.5;-62 28 26;  7.51;-78.04;  171; 3.35;G8II-III           ; 2
064.0069;-51.4866;1338; ;   ;Dor;04 16 01.6;-51 29 12; 36.55;-70.14;   66; 4.25;F4III              ;
065.1027;+34.5666;1343; ; 54;Per;04 20 24.6;+34 34 00; 69.17; 12.91;  232; 4.93;G8III              ; 2
064.9482;+15.6275;1346; ; 54;Tau;04 19 47.5;+15 37 39; 65.81; -5.73;  155; 3.65;K0-IIIabCN1        ;
064.4736;-33.7983;1347; ; 41;Eri;04 17 53.6;-33 47 54; 52.50;-53.96;  181; 3.56;B9V                ; 3
065.0886;+27.3508;1348; ; 52;Tau;04 20 21.2;+27 21 03; 67.91;  5.80;  362; 4.95;K1III              ; 2
065.3881;+46.4989;1350; ; 53;Per;04 21 33.1;+46 29 56; 71.62; 24.62;  465; 4.86;B4IV               ;
064.1206;-59.3019;1355; ;   ;Ret;04 16 28.9;-59 18 07; 19.61;-76.32;   60; 4.44;K2IVa              ; 2
065.7336;+17.5425;1373; ; 61;Tau;04 22 56.0;+17 32 33; 66.87; -3.97;  155; 3.76;K0IIICN0.5         ; 3
066.0240;+17.4439;1380; ; 64;Tau;04 24 05.7;+17 26 38; 67.13; -4.11;  148; 4.80;A7V                ; 2
066.3423;+22.2939;1387; ; 65;Tau;04 25 22.1;+22 17 38; 68.20;  0.63;  155; 4.22;A7IV-V             ; 6
066.3723;+17.9280;1389; ; 68;Tau;04 25 29.3;+17 55 41; 67.53; -3.69;  148; 4.28;A2IV               ; 3
066.5769;+22.8136;1392; ; 69;Tau;04 26 18.4;+22 48 49; 68.50;  1.11;  155; 4.28;A8Vn               ; 3
066.0090;-34.0169;1393; ; 43;Eri;04 24 02.1;-34 01 01; 54.49;-54.54;  296; 3.96;K4III              ;
066.5865;+15.6183;1394; ; 71;Tau;04 26 20.7;+15 37 06; 67.37; -6.00;  163; 4.50;F0V                ; 3
066.6519;+14.7136;1396; ; 73;Tau;04 26 36.4;+14 42 49; 67.29; -6.90;  465; 4.69;G7IIIaFe-1         ;
067.1098;+16.3597;1407; ; 75;Tau;04 28 26.3;+16 21 35; 67.98; -5.35;  203; 4.97;K2IIIv             ; 2
067.1540;+19.1803;1409; ; 74;Tau;04 28 36.9;+19 10 49; 68.46; -2.57;  155; 3.54;G9.5IIICN0.5       ; 2
067.1436;+15.9622;1411; ; 77;Tau;04 28 34.4;+15 57 44; 67.95; -5.74;  163; 3.84;K0IIIbFe-0.5       ; 4
067.1657;+15.8708;1412; ; 78;Tau;04 28 39.7;+15 52 15; 67.96; -5.84;  155; 3.39;A7III              ; 4
067.6402;+16.1939;1427; ;   ;   ;04 30 33.6;+16 11 38; 68.46; -5.59;  148; 4.78;A6IV               ; 3
067.9694; -0.0442;1437; ; 45;Eri;04 31 52.6;-00 02 39; 66.19;-21.68;  496; 4.89;K3II-III           ;
068.4619;+14.8444;1444; ; 86;Tau;04 33 50.8;+14 50 40; 69.05; -7.04;  155; 4.65;A8V                ;
068.3777;-29.7666;1453; ; 50;Eri;04 33 30.6;-29 46 00; 59.49;-50.94;  125; 4.51;K0IIICN-1          ;
069.1723;+41.2647;1454; ; 58;Per;04 36 41.3;+41 15 53; 73.58; 19.01;  253; 4.26;K4III+A3V          ; 2
068.9802;+16.5092;1457;*; 87;Tau;04 35 55.2;+16 30 33; 69.79; -5.47;   65; 0.86;K5III              ; 6
068.9136;+10.1608;1458; ; 88;Tau;04 35 39.2;+10 09 39; 68.80;-11.74;  155; 4.25;A5m                ; 2
069.0798; -3.3525;1463; ; 48;Eri;04 36 19.1;-03 21 09; 66.81;-25.12;  866; 3.92;B2III              ; 2
068.8877;-30.5625;1464; ; 52;Eri;04 35 33.0;-30 33 45; 59.88;-51.82;  217; 3.82;G8IIIHdelta-1      ;
068.4994;-55.0450;1465; ;   ;Dor;04 33 59.8;-55 02 42; 37.83;-74.58;  181; 3.27;A0IIISi            ; 3
069.5394;+12.5108;1473; ; 90;Tau;04 38 09.4;+12 30 39; 69.76; -9.50;  155; 4.27;A6V                ; 3
069.8186;+15.9180;1479; ; 92;Tau;04 39 16.4;+15 55 05; 70.51; -6.17;  163; 4.70;A5Vn               ; 3
069.5448;-14.3041;1481; ; 53;Eri;04 38 10.7;-14 18 15; 65.25;-36.00;  112; 3.87;K2IIIb             ; 2
070.1102;-19.6716;1496; ; 54;Eri;04 40 26.4;-19 40 18; 64.73;-41.38;  362; 4.30;M4III              ; 2
070.5611;+22.9569;1497; ; 94;Tau;04 42 14.6;+22 57 25; 72.15;  0.71;  407; 4.29;B3V                ; 5
070.1402;-41.8638;1502; ;   ;Cae;04 40 33.6;-41 51 50; 56.15;-62.99;   66; 4.45;F2V                ; 2
071.3757; -3.2547;1520; ; 57;Eri;04 45 30.1;-03 15 17; 69.34;-25.37;  543; 4.02;B5IV               ;
072.4777;+37.4883;1533; ;   ;   ;04 49 54.6;+37 29 18; 75.69; 14.92;  543; 4.91;K3.5IIIBa0.2:      ;
073.5126;+66.3427;1542; ;  9;Cam;04 54 03.0;+66 20 34; 80.98; 43.42; 2944; 4.29;O9.5Iae            ;
072.4598; +6.9614;1543; ;  1;Ori;04 49 50.3;+06 57 41; 71.92;-15.38;   26; 3.18;F6V                ; 2
072.6532; +8.9003;1544; ;  2;Ori;04 50 36.7;+08 54 01; 72.37;-13.48;  203; 4.35;A1Vn               ;
073.1581;+36.7030;1551; ;  2;Aur;04 52 37.9;+36 42 11; 76.14; 14.07;  250; 4.77;K2.5IIIbBa0.4      ;
072.8015; +5.6050;1552; ;  3;Ori;04 51 12.3;+05 36 18; 72.10;-16.77;  734; 3.68;B2III+B2IV         ;
073.1332;+14.2506;1556; ;  4;Ori;04 52 31.9;+14 15 02; 73.49; -8.23;  543; 4.74;S3.5/1-            ;
073.2236; -5.4528;1560; ; 61;Eri;04 52 53.6;-05 27 10; 71.05;-27.79;  232; 4.39;F4III+A6III        ;
073.5627; +2.4406;1567; ;  8;Ori;04 54 15.0;+02 26 26; 72.49;-20.01;  761; 3.73;B3III+B0V          ;
074.3214;+53.7522;1568; ;  7;Cam;04 57 17.1;+53 45 08; 79.27; 30.90;  407; 4.47;A1V                ; 3
073.7240;+10.1508;1570; ;  7;Ori;04 54 53.7;+10 09 03; 73.59;-12.37;  120; 4.67;A0V                ; 3
074.2486;+33.1661;1577; ;  3;Aur;04 56 59.6;+33 09 58; 76.64; 10.45;  543; 2.69;K3II               ;
074.0927;+13.5144;1580; ;  9;Ori;04 56 22.2;+13 30 52; 74.34; -9.06;  171; 4.06;K2III              ; 3
074.8140;+37.8903;1592; ;  4;Aur;04 59 15.3;+37 53 25; 77.64; 15.10;  163; 4.95;A1V                ; 2
074.6369; +1.7142;1601; ; 10;Ori;04 58 32.8;+01 42 51; 73.54;-20.85;  556; 4.47;K2II               ;
075.8547;+60.4422;1603; ; 10;Cam;05 03 25.1;+60 26 32; 81.27; 37.43; 1304; 4.02;G0Ib               ; 3
075.4923;+43.8233;1605; ;  7;Aur;05 01 58.1;+43 49 24; 78.84; 20.94; 3862; 2.99;F0Iae              ; 6
074.9823;-12.5375;1611; ; 64;Eri;04 59 55.7;-12 32 15; 72.00;-35.04;  296; 4.78;F0IV               ;
075.6194;+41.0758;1612; ;  8;Aur;05 02 28.6;+41 04 33; 78.63; 18.20;  182; 3.75;K4II+B8V           ;
075.3598; -7.1739;1617; ; 65;Eri;05 01 26.3;-07 10 26; 73.21;-29.76;  534; 4.81;B3V                ;
075.7740;+21.5900;1620; ;102;Tau;05 03 05.7;+21 35 24; 76.79; -1.20;  163; 4.64;A7V                ; 2
075.3565;-20.0519;1621; ;   ;   ;05 01 25.5;-20 03 07; 71.20;-42.54;  217; 4.92;B9.5Vn             ;
076.6694;+51.5978;1637; ;  9;Aur;05 06 40.6;+51 35 52; 80.61; 28.59;   85; 5.00;F0V                ; 5
076.1423;+15.4039;1638; ; 11;Ori;05 04 34.1;+15 24 14; 76.54; -7.39;  407; 4.68;A0pSi              ;
076.6285;+41.2344;1641; ; 10;Aur;05 06 30.8;+41 14 04; 79.45; 18.28;  232; 3.18;B3V                ;
076.1015;-35.4833;1652; ;   ;Cae;05 04 24.3;-35 29 00; 68.41;-57.89;  191; 4.55;K3III              ; 2
076.3652;-22.3711;1654; ;  2;Lep;05 05 27.6;-22 22 16; 72.06;-44.96;  232; 3.18;K5IIIv             ;
076.8627;+18.6450;1656; ;104;Tau;05 07 27.0;+18 38 42; 77.53; -4.23;   51; 5.00;G4V                ; 2
076.9623; -5.0864;1666; ; 67;Eri;05 07 50.9;-05 05 11; 75.28;-27.86;   90; 2.79;A3III              ; 2
076.3777;-57.4727;1674; ;   ;Dor;05 05 30.6;-57 28 22; 48.68;-78.94;   38; 4.72;F7V                ;
077.4248;+15.5972;1676; ; 15;Ori;05 09 41.9;+15 35 50; 77.79; -7.31;  326; 4.82;F2IV               ;
077.2865; -8.7542;1679; ; 69;Eri;05 09 08.7;-08 45 15; 75.21;-31.54;  862; 4.27;B2IVne             ;
078.3569;+38.4844;1689; ; 11;Aur;05 13 25.6;+38 29 04; 80.57; 15.43;  163; 4.88;A4m                ;
078.0744;-11.8692;1696; ;  3;Lep;05 12 17.8;-11 52 09; 75.76;-34.72;  250; 4.44;B8V                ; 2
078.3227; +2.8611;1698; ; 17;Ori;05 13 17.4;+02 51 40; 77.57;-20.08;  362; 4.44;K3III              ; 3
078.2327;-16.2055;1702; ;  5;Lep;05 12 55.8;-16 12 20; 75.39;-39.05;  191; 3.29;B9pHgMn            ;
078.3077;-12.9416;1705; ;  4;Lep;05 13 13.8;-12 56 30; 75.90;-35.81;  192; 4.36;B9V                ; 2
079.1723;+45.9980;1708;*; 13;Aur;05 16 41.3;+45 59 53; 81.86; 22.86;   42; 0.08;G5IIIe+G0III       ;10
078.6344; -8.2017;1713;*; 19;Ori;05 14 32.2;-08 12 06; 76.83;-31.12;  949; 0.13;B8Iae:             ; 4
079.5444;+33.3717;1726; ; 16;Aur;05 18 10.6;+33 22 18; 81.14; 10.25;  250; 4.54;K3III              ; 2
079.7852;+40.0992;1729; ; 15;Aur;05 19 08.4;+40 05 57; 81.85; 16.95;   41; 4.71;G2IV-V             ; 6
079.4015; -6.8444;1735; ; 20;Ori;05 17 36.3;-06 50 40; 77.85;-29.84;  331; 3.59;B5III              ; 4
079.8190;+22.0964;1739; ;109;Tau;05 19 16.5;+22 05 47; 80.57; -1.01;  217; 4.94;G8III              ;
079.3710;-34.8952;1743; ;   ;Col;05 17 29.0;-34 53 43; 73.54;-57.73;  112; 4.83;K0IV               ;
078.4393;-67.1855;1744; ;   ;Dor;05 13 45.4;-67 11 08;346.87;-85.42;  274; 4.83;K2.5IIIa           ;
079.8936;-13.1769;1756; ;  6;Lep;05 19 34.4;-13 10 37; 77.78;-36.19; 1504; 4.29;B0.5IV             ;
080.1119;-21.2397;1762; ;   ;   ;05 20 26.8;-21 14 23; 77.09;-44.24;  465; 4.71;A0Vv               ; 2
080.4407; -0.3825;1765; ; 22;Ori;05 21 45.7;-00 22 57; 79.57;-23.48;  866; 4.74;B2IV-V             ;
080.7082; +3.5445;1770; ; 23;Ori;05 22 49.9;+03 32 40; 80.15;-19.58; 1397; 5.00;B1V                ; 2
081.1631;+37.3855;1773; ; 21;Aur;05 24 39.1;+37 23 08; 82.77; 14.17;  543; 4.99;K4III              ; 4
